,traffic_x,traffic_y,traffic_x_km,traffic_y_km,traffic_area,place_name
0,-80.96973422289823,46.46801116901949,-9013.631783427254,5157.949239761164,27076.78305041295,Greater Sudbury
1,-81.06209254808117,46.47481399489302,-9023.913204544944,5158.704353433125,25963.23353169402,Greater Sudbury
2,-80.97467276770146,46.46856501846782,-9014.181547173295,5158.010717049928,11063.359793525306,Greater Sudbury
3,-80.96326780953532,46.463962412925056,-9012.911935825281,5157.499827834681,10701.042715365613,Greater Sudbury
4,-80.9757744071172,46.46620291851157,-9014.304182774693,5157.748523954784,9802.474805082285,Greater Sudbury
5,-80.96630073085883,46.464967413559776,-9013.249563659936,5157.6113829051355,7305.214240563836,Greater Sudbury
6,-80.97149437794133,46.46357980330042,-9013.827725646806,5157.457358166346,5222.956842953861,Greater Sudbury
7,-80.98693848699872,46.46446163068314,-9015.546979311184,5157.555241005828,5018.499788302918,Greater Sudbury
8,-80.96266872363181,46.4620557324183,-9012.845244983417,5157.288186298431,4160.3175955258,Greater Sudbury
9,-80.994086716605,46.488518453167444,-9016.342727379184,5160.225548301586,3105.746570442223,Greater Sudbury
10,-80.97059999427115,46.46510393737475,-9013.728161962259,5157.626537048597,2979.572438774568,Greater Sudbury
11,-80.97689225826169,46.46797962067468,-9014.428623081949,5157.94573789489,2969.383271782989,Greater Sudbury
12,-80.96327205151152,46.46106682292871,-9012.912408046313,5157.178417345087,2731.3581188452426,Greater Sudbury
13,-80.97235726347387,46.471512331759044,-9013.923782927175,5158.337868825254,2689.0970622879877,Greater Sudbury
14,-80.97021517659431,46.46370688834977,-9013.685323673655,5157.471464606824,2657.3633489953772,Greater Sudbury
15,-80.96706990622489,46.46466463720318,-9013.33518903086,5157.577774729552,2653.0434999960025,Greater Sudbury
16,-80.99398514463185,46.49065451973376,-9016.331420285562,5160.462651690447,2577.2121381105903,Greater Sudbury
17,-80.93329749997874,46.50694854496511,-9009.575610995133,5162.271288491127,2362.9295907444466,Greater Sudbury
18,-81.51995528003938,46.31517370826627,-9074.882941729264,5140.984281617556,2227.4064075517667,Greater Sudbury
19,-80.97479678865967,46.46803304626337,-9014.195353310384,5157.951668135234,1940.6731180973304,Greater Sudbury
20,-80.96554452918772,46.46241623853371,-9013.165382533707,5157.3282024772425,1852.434250698895,Greater Sudbury
21,-80.9647120313239,46.464489731495604,-9013.072708039008,5157.5583601960125,1762.6594141329217,Greater Sudbury
22,-80.97103301066736,46.465932225947434,-9013.7763657805,5157.718477080165,1714.8743527919532,Greater Sudbury
23,-81.06377597994677,46.480548980949344,-9024.100605863654,5159.340936885377,1636.0712782505475,Greater Sudbury
24,-80.97161137831404,46.46582986571836,-9013.840750245297,5157.707115094739,1614.6137495609012,Greater Sudbury
25,-80.9772271529443,46.46832206261928,-9014.465903892911,5157.98374895074,1343.6010737287693,Greater Sudbury
26,-81.00678890731601,46.48671404958305,-9017.756747951325,5160.025259503718,1221.3503993749412,Greater Sudbury
27,-81.00755119052106,46.48047962733177,-9017.841606079994,5159.333238633826,1210.8092068233025,Greater Sudbury
28,-81.0061342515976,46.48018506276412,-9017.683871022096,5159.300541966817,1164.08074377184,Greater Sudbury
