hour,work,home,random
0,0,95,3
1,0,95,3
2,0,95,3
3,0,95,3
4,0,95,5
5,0,95,5
6,0,95,10
7,5,75,20
8,5,65,30
9,5,60,35
10,5,60,35
11,5,60,35
12,5,60,35
13,5,60,35
14,5,60,35
15,0,60,35
16,0,60,35
17,0,60,35
18,0,60,35
19,0,60,35
20,0,60,35
21,0,60,5
22,0,95,3
23,0,95,3
