hour,work,home,random
0,0,95,5
1,0,95,5
2,0,95,5
3,0,95,5
4,0,90,10
5,0,90,10
6,0,80,20
7,0,75,25
8,0,70,30
9,0,50,50
10,0,20,80
11,0,10,90
12,0,5,95
13,0,5,95
14,0,5,95
15,0,5,95
16,0,5,95
17,0,5,95
18,0,15,85
19,0,45,55
20,0,50,50
21,0,75,25
22,0,80,20
23,0,90,10
