,x,y,x_km,y_km,Station_Name,City
0,-79.435513,46.266569,-8842.840742673,5135.589159,Best Western - North Bay,North Bay
1,-80.92157,46.520264,-9008.27009397,5163.749304,Tru-Nor Truck Centre,Sudbury
2,-80.9885,46.4866,-9015.7208085,5160.0126,Quality Inn & Conference Centre,Sudbury
3,-80.9962,46.4707,-9016.5779802,5158.2477,Science North,Sudbury
4,-79.438416,46.308712,-8843.163907536,5140.267032,True North Chevrolet Cadillac,North Bay
5,-79.388245,46.257458,-8837.578821645,5134.577838,Clarion Resort - Pinewood Park,North Bay
6,-81.0047,46.4405,-9017.5242087,5154.8955,SmartCentres Sudbury - Tesla Supercharger,Sudbury
7,-79.388245,46.257458,-8837.578821645,5134.577838,Clarion Resort Pinewood Park - Tesla Destination,North Bay
8,-81.09674,46.546909,-9027.77019354,5166.706899,Tim Horton's,Azilda
10,-81.189655,46.568264,-9038.113584255,5169.077304,Belanger Ford Lincoln Centre,Chelmsford
11,-79.4709,46.3323,-8846.7800589,5142.8853,Canadian Tire - Tesla Supercharger,North Bay
12,-79.44538,46.32186,-8843.93914698,5141.72646,Hydro One Inc,North Bay
14,-81.00455,46.453639,-9017.50751055,5156.353929,Petro-Canada EV Fast Charger,Sudbury
15,-80.9639954,46.4638951,-9012.9929319234,5157.4923561000005,NOSM,Sudbury
