,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
0,-75.13736550480665,45.39565002070528,-8364.366665360581,5038.917152298286,Larose Fire Tower,33.45237643795792,Clarence-Rockland
1,-75.8439960405774,44.91507871582459,-8443.029483233116,4985.57373745653,Merrickville Fairgrounds,52105.47378682513,Merrickville-Wolford
2,-75.82381027979034,44.934586678351664,-8440.78238415654,4987.739121297035,Merrickville Union Cemetery,26800.796111590134,Merrickville-Wolford
3,-75.83107634027931,44.913744299090844,-8441.591249276233,4985.425617199084,Merrickville Public School,22776.272296337193,Merrickville-Wolford
4,-75.8307469599915,44.905127637218136,-8441.554582333214,4984.469167731213,St. Ann's Cemetery,12807.063314199522,Merrickville-Wolford
5,-75.842743400621,44.913767144134134,-8442.890038100531,4985.428152998888,École élémentaire catholique Sainte-Marguerite-Bourgeoys,12187.588710205473,Merrickville-Wolford
6,-75.84090524645165,44.91671755336174,-8442.685412940244,4985.755648423154,Merrickville Lions Club Park Campground,9117.427225752683,Merrickville-Wolford
7,-75.81730155432592,44.95083510614524,-8440.057826329115,4989.542696782122,Lock 19 - Upper Nicholsons,8068.624547782387,Merrickville-Wolford
8,-75.83586210504153,44.91576478902907,-8442.124005395328,4985.649891582227,Fulford Preparatory College,4230.520277986758,Merrickville-Wolford
9,-75.81559928295866,44.95477834494704,-8439.86832777824,4989.980396289121,Lower Nicholsons Lock,4143.408759225588,Merrickville-Wolford
10,-75.81867158032085,44.94390812056916,-8440.210338992898,4988.773801383177,McGuigan Cemetery,2158.5175724438523,Merrickville-Wolford
11,-75.83590605007298,44.913778244983305,-8442.128897400175,4985.429385193147,Merrickville Cenotaph,2129.592573443195,Merrickville-Wolford
12,-75.82913463045278,44.91482033237517,-8441.375096196634,4985.545056893644,Collar Hill Cemetery,1515.7509654397006,Merrickville-Wolford
13,-75.84222382951675,44.91536915607808,-8442.832198925635,4985.605976324667,Merrickville Community Centre,930.3668635379909,Merrickville-Wolford
14,-75.83702949232645,44.91493624937082,-8442.253960115273,4985.5579236801605,Larkspur Lane,826.0568089815952,Merrickville-Wolford
15,-75.84139310106228,44.91455099278501,-8442.739721403354,4985.5151601991365,Merrickville Fire Department,824.4905566912987,Merrickville-Wolford
16,-75.83708440007129,44.917766395198214,-8442.260072500336,4985.872069867002,Merrickville Ruins,704.4792038866553,Merrickville-Wolford
17,-75.84372251669767,44.91612004328312,-8442.999034281302,4985.689324804426,Merrickville Public Library,409.2721483364332,Merrickville-Wolford
18,-75.83643682810093,44.915286014557005,-8442.187984141023,4985.596747615828,Merrickville Food Market,400.88764167224946,Merrickville-Wolford
19,-75.83628692681447,44.91430522861693,-8442.171296979914,4985.48788037648,The Goose and Gridiron,358.8172545742744,Merrickville-Wolford
20,-75.81998773159799,44.88935439939228,-8440.35685426922,4982.718338332544,Merrickville Tool and Equipment Rentals,349.9930984371222,Merrickville-Wolford
21,-75.83963572074921,44.91613043938832,-8442.544088069522,4985.690478772103,1840 Guest House,314.69157092805244,Merrickville-Wolford
22,-75.83933874465689,44.91563160168798,-8442.511028393948,4985.635107787365,Merrickville Nails,302.89333455831604,Merrickville-Wolford
23,-75.83728944327648,44.91642818556551,-8442.28289811498,4985.723528597771,Merrickville Blockhouse,297.4980433383135,Merrickville-Wolford
24,-75.83745856329399,44.91480684695695,-8442.30172472445,4985.543560012221,Sugar Belle Bake Shoppe,249.65703649433257,Merrickville-Wolford
