hour,work,home,random
0,0,50,50
1,0,80,20
2,0,80,20
3,0,80,20
4,0,70,30
5,0,60,40
6,0,50,50
7,0,25,75
8,0,5,95
9,0,5,95
10,0,5,95
11,0,5,95
12,0,5,95
13,0,5,95
14,0,5,95
15,0,5,95
16,0,5,95
17,0,5,95
18,0,5,95
19,0,25,75
20,0,25,75
21,0,20,80
22,0,10,90
23,0,25,75
