time,load_curve
0,0.045662271
1,0.032379399
2,0.02156933
3,0.013497742
4,0.007934913
5,0.004382075
6,0.002273391
7,0.000507262
8,0.001107962
9,0.002273391
10,0.004382075
11,0.007934913
12,0.013497742
13,0.02156933
14,0.032379399
15,0.045662271
16,0.060492681
17,0.075284358
18,0.088016332
19,0.096667029
20,0.09973557
21,0.096667029
22,0.088016332
23,0.075284358
24,0.060492681
