Step,AgentID,pos,cars_passing
69,8,"(2.5, 7.5)",117
69,9,"(2.5, 10.0)",10
69,10,"(5.0, 0.0)",97
69,11,"(5.0, 2.5)",117
69,12,"(5.0, 5.0)",165
69,13,"(5.0, 7.5)",142
69,14,"(5.0, 10.0)",102
69,15,"(7.5, 0.0)",11
69,16,"(7.5, 2.5)",114
69,17,"(7.5, 5.0)",118
69,18,"(7.5, 7.5)",116
69,19,"(7.5, 10.0)",7
69,20,"(10.0, 0.0)",6
69,21,"(10.0, 2.5)",14
69,22,"(10.0, 5.0)",78
69,23,"(10.0, 7.5)",7
69,24,"(10.0, 10.0)",3
70,0,"(0.0, 0.0)",3
70,1,"(0.0, 2.5)",8
70,2,"(0.0, 5.0)",96
70,3,"(0.0, 7.5)",9
70,4,"(0.0, 10.0)",4
70,5,"(2.5, 0.0)",10
70,6,"(2.5, 2.5)",102
70,7,"(2.5, 5.0)",117
70,8,"(2.5, 7.5)",111
70,9,"(2.5, 10.0)",7
70,10,"(5.0, 0.0)",94
70,11,"(5.0, 2.5)",114
70,12,"(5.0, 5.0)",173
70,13,"(5.0, 7.5)",133
70,14,"(5.0, 10.0)",104
70,15,"(7.5, 0.0)",13
70,16,"(7.5, 2.5)",117
70,17,"(7.5, 5.0)",123
70,18,"(7.5, 7.5)",117
70,19,"(7.5, 10.0)",3
70,20,"(10.0, 0.0)",3
70,21,"(10.0, 2.5)",12
70,22,"(10.0, 5.0)",87
70,23,"(10.0, 7.5)",14
70,24,"(10.0, 10.0)",3
71,0,"(0.0, 0.0)",3
71,1,"(0.0, 2.5)",6
71,2,"(0.0, 5.0)",95
71,3,"(0.0, 7.5)",7
71,4,"(0.0, 10.0)",2
71,5,"(2.5, 0.0)",8
71,6,"(2.5, 2.5)",104
71,7,"(2.5, 5.0)",130
71,8,"(2.5, 7.5)",112
71,9,"(2.5, 10.0)",7
71,10,"(5.0, 0.0)",93
71,11,"(5.0, 2.5)",116
71,12,"(5.0, 5.0)",177
71,13,"(5.0, 7.5)",133
71,14,"(5.0, 10.0)",104
71,15,"(7.5, 0.0)",8
71,16,"(7.5, 2.5)",115
71,17,"(7.5, 5.0)",123
71,18,"(7.5, 7.5)",122
71,19,"(7.5, 10.0)",5
71,20,"(10.0, 0.0)",3
71,21,"(10.0, 2.5)",6
71,22,"(10.0, 5.0)",93
71,23,"(10.0, 7.5)",14
71,24,"(10.0, 10.0)",2
72,0,"(0.0, 0.0)",1
72,1,"(0.0, 2.5)",7
72,2,"(0.0, 5.0)",85
72,3,"(0.0, 7.5)",6
72,4,"(0.0, 10.0)",3
72,5,"(2.5, 0.0)",6
72,6,"(2.5, 2.5)",109
72,7,"(2.5, 5.0)",129
72,8,"(2.5, 7.5)",107
72,9,"(2.5, 10.0)",6
72,10,"(5.0, 0.0)",81
72,11,"(5.0, 2.5)",120
72,12,"(5.0, 5.0)",182
72,13,"(5.0, 7.5)",131
72,14,"(5.0, 10.0)",98
72,15,"(7.5, 0.0)",12
72,16,"(7.5, 2.5)",125
72,17,"(7.5, 5.0)",124
72,18,"(7.5, 7.5)",117
72,19,"(7.5, 10.0)",10
72,20,"(10.0, 0.0)",2
72,21,"(10.0, 2.5)",6
72,22,"(10.0, 5.0)",93
72,23,"(10.0, 7.5)",12
72,24,"(10.0, 10.0)",1
73,0,"(0.0, 0.0)",1
73,1,"(0.0, 2.5)",6
73,2,"(0.0, 5.0)",81
73,3,"(0.0, 7.5)",8
73,4,"(0.0, 10.0)",2
73,5,"(2.5, 0.0)",6
73,6,"(2.5, 2.5)",115
73,7,"(2.5, 5.0)",136
73,8,"(2.5, 7.5)",113
73,9,"(2.5, 10.0)",7
73,10,"(5.0, 0.0)",84
73,11,"(5.0, 2.5)",134
73,12,"(5.0, 5.0)",196
73,13,"(5.0, 7.5)",140
73,14,"(5.0, 10.0)",106
73,15,"(7.5, 0.0)",8
73,16,"(7.5, 2.5)",129
73,17,"(7.5, 5.0)",135
73,18,"(7.5, 7.5)",116
73,19,"(7.5, 10.0)",9
73,20,"(10.0, 0.0)",3
73,21,"(10.0, 2.5)",11
73,22,"(10.0, 5.0)",94
73,23,"(10.0, 7.5)",8
73,24,"(10.0, 10.0)",2
74,0,"(0.0, 0.0)",2
74,1,"(0.0, 2.5)",10
74,2,"(0.0, 5.0)",64
74,3,"(0.0, 7.5)",6
