,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,442860.686811101,442573.0367196691,442339.12311023014,442164.7194314024,442044.833594403,441968.626871825,552390.903059821,662820.6233105217,773301.7771222217,883795.203059821,883842.0268718253,856303.4585944035,828808.5694314019,801368.1981102299,773987.3367196685,840557.2468111006,907160.7864508111,973763.4843836983,1040321.4229106917,1106790.6712071989,941157.7036716698,775391.3712071987,609503.7329106922,443527.40438369807
1,443102.04157908156,442812.23966238543,442576.57482176844,442400.86354568455,442280.0765303875,442203.2942480534,552683.718199261,663171.641707084,773711.3822022033,884263.4863093201,884310.651728132,856758.0366679608,829249.4263407531,801795.740274332,774402.0077724439,841009.1633111519,907650.1990992939,974290.3869058668,1040885.4816346603,1107391.2249660932,941671.0204791769,775816.4568560343,609839.6830915838,443773.5579297725
2,443336.5593037709,443045.15015956265,442808.1773005968,442631.4893623649,442510.0292447589,442432.8170690268,552970.2340169449,663515.1919706329,774112.2532979272,884721.7465694274,884769.1671390033,857202.669935362,829680.4206735947,802213.3992324527,774806.6627120454,841449.7743667498,908126.9535229864,974803.280010961,1041434.2641970934,1107975.4031513478,942169.6977366804,776228.8905988653,610165.197878866,444011.6599269888
3,443570.78496043786,443277.80843733414,443039.5599902259,442861.91960460995,442739.803073182,442662.171662566,553256.5491629443,663858.5080905827,774512.8496776496,885179.6898469441,885227.3592412319,857646.978928181,830111.0837359428,802630.7123978921,775210.9491213332,841889.9537812377,908603.2085521574,975315.6060843214,1041982.4182696892,1108558.9036324925,942667.7462399055,776640.7629484934,610490.2353804896,444249.38098992186
4,443807.51729510486,443512.92026161694,443273.3529860908,443094.7278667389,442971.9326701729,442893.86781332083,553545.7784386526,664205.3122829542,774917.5175398224,885642.2902758555,885690.2169295915,858095.8224666767,830546.1583434761,803052.3241430608,775619.4320988201,842334.7314997484,909084.4698113292,975833.3461587279,1042536.3858755643,1109148.6008540438,943171.1322468556,777057.0890168397,610818.8204872005,444489.72721920285
5,444036.3127827561,443739.9889759084,443499.0163914122,443319.3419656201,443195.8236012843,443117.2968754922,553824.6482200092,664539.6673156462,775307.6655116193,886088.3046015287,886136.5053841845,858528.6440781832,830965.7744107259,803459.0608047242,776013.6453574273,842764.1004405795,909549.1956143229,976333.4237885948,1043071.5475709146,1109718.3160488661,943657.6740798507,777459.6596673476,611136.69427494,444722.37357816426
6,444262.44062309,443964.5361544738,443722.2771717671,443541.6422270031,443417.461886016,443338.5123725019,554100.786291144,664870.7687249515,775694.0119117453,886529.9631952267,886578.4149112789,858957.1830161191,831381.1819484329,803861.6354845231,776403.7130585564,843188.8529079889,910008.8170050356,976827.9094933833,1043600.6524851215,1110281.5545005293,944138.5174266107,777857.3775964469,611450.622509814,444952.0264468508
7,444479.7266747838,444180.14856429584,443936.5275128947,443754.8755480427,443629.99429060175,443550.5971194997,554365.4884953451,665188.1315482848,776064.3335746665,886953.3148535885,887002.0322638244,859368.0272384064,831779.5062993268,804247.7560676588,776777.9749225391,843596.518304676,910450.0809242146,977302.7670546962,1044108.8441659912,1110822.5660600534,944600.59089522,778239.7397018096,611752.5699002747,445173.04488150676
8,444703.3807096675,444402.19537166774,444157.26630191755,443974.6376749176,443849.08331516763,443769.2562506676,554638.4247007722,665515.3862771264,776446.1932132306,887389.8477340855,887438.8202950852,859791.612106809,832190.131213783,804645.7245880067,777163.6184049805,844016.4883496432,910904.5647838061,977791.7600422188,1044632.0970573811,1111379.585020794,945076.1828118869,778633.1619874805,612063.1471140741,445400.28318891744
9,444928.9449709164,444626.00629381253,444379.65029495454,444195.9562183385,444069.6675651605,443989.37152604444,554913.1458402298,665844.7584979254,776830.528936799,887829.2215046511,887878.4724119394,860218.0121456871,832603.5444934958,805046.4822647438,777552.0819582333,844439.6357682212,911362.6003427256,978284.6786287238,1045159.6267906759,1111941.1871723135,945555.8636952655,779030.1115078927,612376.6284269288,445629.75756565045
