,tot_pop,tot_EV_sat,tot_EVs,total_daily_use,pop_daily_use,ev_daily_use
0,1104671.0,0.01967192041793439,21731,17751649.913206115,17729969.550000012,21680.363206116006
1,1105255.893700196,0.019808082566930462,21893,17761199.079607695,17739357.09388814,21841.985719548004
2,1105828.3751749415,0.01990724826220651,22014,17770508.125327513,17748545.421557814,21962.703769704003
3,1106400.4689466646,0.02000360685048381,22132,17779807.955404326,17757727.526593976,22080.428810352
4,1106978.3727906777,0.02010337378488973,22254,17789205.02782071,17767002.883290358,22202.144530343994
5,1107535.52127173,0.02021063845816658,22384,17798276.958020296,17775945.116411272,22331.841609024
6,1108087.2563469424,0.020307967509874788,22503,17807251.028687935,17784800.464368425,22450.564319507997
7,1108616.087860812,0.020411935428129108,22629,17815864.48088488,17793288.210166026,22576.270718844004
8,1109161.410111044,0.02051099127017264,22750,17824737.621051263,17802040.632282257,22696.988769
9,1109710.2522147358,0.0206197968833149,22882,17833678.22923387,17810849.548046518,22828.681187352
10,1110269.2724046514,0.02071839739397586,23003,17842771.22133216,17819821.822094645,22949.399237507998
11,1110845.3106822746,0.020828282549790297,23137,17852150.32344604,17829067.236450505,23083.086995531998
12,1111372.755630149,0.02093447034951668,23266,17860744.514268268,17837532.72786389,23211.786404376
13,1111936.47406395,0.021041669686837152,23397,17869922.889879286,17846580.408726398,23342.481152891993
14,1112517.6776391831,0.021141237099180834,23520,17879373.920651607,17855908.726108897,23465.19454272
15,1113095.6318847016,0.021247051306773748,23650,17888779.78337085,17865184.891749453,23594.8916214
16,1113663.2951401216,0.02135923856322041,23787,17898027.459387884,17874295.886998955,23731.572388932
17,1114209.0633290287,0.021469040943293844,23921,17906920.726577874,17883055.46643091,23865.260146955996
18,1114752.8299087787,0.021575186314591474,24051,17915777.877261523,17891782.92003589,23994.957225636
19,1115310.190825146,0.021686343583129642,24187,17924859.20306692,17900728.562743593,24130.64032333201
20,1115867.613315101,0.021799180933062046,24325,17933943.51246805,17909675.193707358,24268.3187607
21,1116401.4939402894,0.0219069932571302,24457,17942643.9889207,17918243.97774165,24400.011179052002
22,1116955.2638216016,0.02202505399887639,24601,17951675.65997215,17927131.98433671,24543.675635436008
23,1117505.7756861416,0.022127849840254437,24728,17960638.079467177,17935967.69976257,24670.379704608
24,1118063.2924979734,0.02223577159433938,24861,17969718.914385263,17944915.84459247,24803.069792795995
25,1118650.4575129524,0.022341205719938327,24992,17979273.6076242,17954339.843082894,24933.764541312004
26,1119191.789119633,0.02245280946866731,25129,17988098.660678953,17963028.215370115,25070.445308844
27,1119709.9868477918,0.02256923694245412,25271,17996557.403332613,17971345.288907055,25212.114425556
28,1120286.8190019028,0.022683476739144635,25412,18005956.230852973,17980603.444980543,25352.785872431992
29,1120843.5196356294,0.022789978754843496,25544,18015022.96844264,17989538.490151852,25484.478290784
30,1121413.7421959632,0.022898774139966518,25679,18024309.72596386,17998690.56224521,25619.163718644
31,1121968.1470487982,0.02301937008455615,25827,18033355.578987584,18007588.76013321,25766.818854372003
32,1122522.1222470335,0.02313896491234041,25974,18042393.538385153,18016480.062064886,25913.476320264002
33,1123100.9210065685,0.02325436611394895,26117,18051825.925262243,18025769.78215542,26056.143106811993
34,1123652.0962270903,0.023368443033361504,26258,18060812.958998483,18034616.144444797,26196.814553688
35,1124182.6534268332,0.023484617841702263,26401,18069471.06884091,18043131.587500677,26339.481340235994
36,1124755.9612046112,0.023600675093617962,26545,18078816.32313065,18052333.17733402,26483.145796619996
37,1125298.9302482277,0.023729694645768153,26703,18087688.608114753,18061047.830484055,26640.777630708
38,1125859.28627189,0.023852003822718286,26854,18096832.970439777,18070041.544663835,26791.425775944004
39,1126431.844872303,0.02397126832210701,27002,18106170.191112135,18079231.11020046,26939.08091167199
40,1126995.1110974294,0.02409770879445472,27158,18115366.250519827,18088271.53311374,27094.717406088002
41,1127566.6786346398,0.024216749676448924,27306,18124687.56462779,18097445.19208597,27242.37254181599
42,1128120.7746425376,0.02433781968841045,27456,18133730.45602994,18106338.43301272,27392.023017215994
43,1128691.5392038065,0.024457523637922297,27605,18143039.880043883,18115499.204221103,27540.675822780002
44,1129270.5154261433,0.024573385757378264,27750,18152477.110538602,18124791.7725896,27685.337949000004
45,1129840.86730868,0.02469285791233272,27899,18161779.91105888,18133945.920304313,27833.990754564
46,1130392.7193777196,0.024816154172898962,28052,18170789.780251868,18142803.146012396,27986.63423947201
47,1130979.1217355072,0.02493591566635071,28202,18180351.188569758,18152214.903854877,28136.284714871996
48,1131551.3978894101,0.025066470734696665,28364,18189697.843353346,18161399.936125036,28297.907228303993
49,1132138.7204869455,0.02520097536080075,28531,18199290.981906384,18170826.463815466,28464.518090916008
50,1132702.9229332795,0.025322614976327325,28683,18208498.076985124,18179881.913079135,28616.163905988004
